Wet Red Mud Discharge   ;Water removed through evaporation   ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Pure Al(OH)3 (dry, precipitated)    ;Alumunium Recovery Rate (From Feed) ;Alumunium in Recycled Spent Liquor  ;Total CaO consumed  ;Total NaOH Consumed 
55.29475536;84.87795235;55.99274155;99.9718544;95.84%;10.46265847;2.447390158;52.57088837
55.82332927;82.32953789;56.86594477;93.35624439;87.86%;9.073778748;3.424177761;49.57547837
77.35870825;96.0585909;66.48495777;79.06738715;87.23%;9.690127047;7.503143642;43.97053567
58.41547588;80.22774535;67.21206657;106.7938099;93.67%;14.1210581;4.462832751;56.96727763
86.36043273;102.9054599;73.58047392;84.10469192;82.28%;11.03092537;8.684189661;47.07719403
86.50229596;103.2648312;71.53059752;79.2402246;85.52%;10.65997207;8.736442782;44.59337076
57.07896526;79.34230234;64.06182339;100.4920307;93.10%;11.01991266;4.417351236;53.68549469
52.15146264;77.23258006;59.04110411;98.97717959;95.54%;11.39314085;3.322368508;52.43908007
77.79978657;92.53761728;74.23766451;88.89202633;84.98%;8.087907115;8.310369508;49.36389488
50.69834221;75.08493984;61.52726883;105.1128819;93.60%;9.917854715;3.230518969;55.5493266
66.58650002;79.21965633;77.83880213;103.2258883;89.78%;9.02054414;7.555676659;56.4246636
47.26750065;75.53517302;53.6610098;97.36483814;92.63%;12.60367667;2.169784462;51.12279643
52.79735515;81.92426148;59.64428551;111.1547269;96.63%;14.84036295;2.071763688;58.19250314
46.48154537;66.35290065;63.8261507;103.0222256;93.83%;9.47415136;4.052064265;54.82229714
36.04484641;61.01814465;51.28767281;92.11428896;95.72%;7.75126561;2.184702183;48.39757097
57.55495616;82.04190305;56.14806799;84.32644389;89.82%;8.598368786;4.308059712;45.30302321
47.15415496;74.08148726;57.56084588;104.5214076;96.32%;8.645774257;2.306597344;54.84167214
84.12984385;101.5293035;71.80079662;83.60176451;82.89%;7.217744989;8.298718973;46.63055557
66.53950689;73.89853291;78.19254025;89.98392321;86.48%;8.538897323;9.166469975;50.29521863
72.64504038;85.19910192;77.05127627;95.28352319;86.68%;10.12461955;8.266835819;52.64741105
47.87379987;76.14316765;51.13645709;89.89768754;93.78%;11.25365043;2.396126557;47.3679532
62.89184763;80.48920489;69.87296567;98.41893798;91.13%;9.294468107;6.112688706;53.33403017
51.53558679;82.63486793;48.91019055;88.24080454;96.35%;10.22025464;2.038790084;46.35590872
67.63692832;99.04234826;52.29022513;83.32947734;91.76%;6.801708672;3.438222497;44.40667755
